
Aposta: {'numeros': [36, 7, 34, 5, 25], 'estrelas': [2, 10]}
Aposta: {'numeros': [28, 12, 32, 17, 35], 'estrelas': [1, 11]}

Aposta: {'numeros': [48, 9, 25, 32, 18], 'estrelas': [8, 6]}

Aposta: {'numeros': [22, 35, 39, 7, 29], 'estrelas': [9, 2]}

Aposta: {'numeros': [15, 34, 44, 25, 21], 'estrelas': [3, 4]}

Aposta: {'numeros': [11, 32, 47, 27, 22], 'estrelas': [7, 3]}

Aposta: {'numeros': [32, 46, 40, 12, 3], 'estrelas': [12, 2]}

Aposta: {'numeros': [5, 17, 49, 11, 13], 'estrelas': [4, 3]}

Aposta: {'numeros': [38, 34, 5, 11, 14], 'estrelas': [7, 2]}

Aposta: {'numeros': [37, 42, 21, 43, 6], 'estrelas': [2, 3]}

Aposta: {'numeros': [3, 41, 11, 5, 28], 'estrelas': [3, 9]}

Aposta: {'numeros': [7, 28, 38, 5, 6], 'estrelas': [2, 7]}

Aposta: {'numeros': [50, 32, 28, 13, 1], 'estrelas': [11, 5]}

Aposta: {'numeros': [24, 20, 22, 42, 48], 'estrelas': [8, 3]}

Aposta: {'numeros': [12, 31, 46, 36, 29], 'estrelas': [12, 9]}

Aposta: {'numeros': [30, 19, 50, 11, 20], 'estrelas': [1, 9]}

Aposta: {'numeros': [12, 50, 30, 29, 32], 'estrelas': [6, 3]}

Aposta: {'numeros': [30, 43, 47, 8, 19], 'estrelas': [12, 4]}

Aposta: {'numeros': [18, 41, 5, 27, 6], 'estrelas': [6, 3]}

Aposta: {'numeros': [21, 17, 39, 29, 16], 'estrelas': [9, 5]}

Aposta: {'numeros': [1, 3, 4, 46, 38], 'estrelas': [3, 9]}

Aposta: {'numeros': [15, 30, 50, 48, 2], 'estrelas': [4, 1]}

Aposta: {'numeros': [4, 34, 48, 23, 26], 'estrelas': [7, 12]}

Aposta: {'numeros': [4, 23, 15, 1, 10], 'estrelas': [4, 10]}

Aposta: {'numeros': [29, 17, 34, 15, 24], 'estrelas': [5, 12]}

Aposta: {'numeros': [36, 7, 20, 12, 30], 'estrelas': [5, 3]}

Aposta: {'numeros': [19, 20, 18, 32, 44], 'estrelas': [12, 11]}

Aposta: {'numeros': [24, 30, 1, 40, 48], 'estrelas': [9, 3]}

Aposta: {'numeros': [50, 35, 1, 43, 25], 'estrelas': [3, 8]}

Aposta: {'numeros': [48, 9, 42, 50, 10], 'estrelas': [9, 2]}

Aposta: {'numeros': [2, 35, 16, 6, 13], 'estrelas': [4, 11]}

Aposta: {'numeros': [12, 23, 33, 20, 45], 'estrelas': [6, 1]}

Aposta: {'numeros': [22, 39, 6, 41, 9], 'estrelas': [2, 6]}

Aposta: {'numeros': [9, 47, 3, 20, 32], 'estrelas': [3, 10]}

Aposta: {'numeros': [44, 40, 2, 36, 43], 'estrelas': [5, 11]}

Aposta: {'numeros': [4, 47, 18, 17, 36], 'estrelas': [4, 3]}

Aposta: {'numeros': [5, 12, 7, 1, 16], 'estrelas': [12, 8]}

Aposta: {'numeros': [14, 1, 28, 23, 2], 'estrelas': [5, 2]}

Aposta: {'numeros': [30, 22, 47, 4, 38], 'estrelas': [9, 10]}

Aposta: {'numeros': [10, 25, 34, 22, 40], 'estrelas': [11, 1]}

Aposta: {'numeros': [13, 36, 29, 23, 16], 'estrelas': [10, 1]}

Aposta: {'numeros': [33, 11, 44, 23, 42], 'estrelas': [7, 5]}

Aposta: {'numeros': [28, 15, 20, 24, 39], 'estrelas': [6, 8]}

Aposta: {'numeros': [4, 35, 24, 49, 38], 'estrelas': [6, 8]}

Aposta: {'numeros': [50, 3, 35, 42, 17], 'estrelas': [8, 2]}

Aposta: {'numeros': [38, 39, 7, 35, 49], 'estrelas': [10, 12]}

Aposta: {'numeros': [5, 14, 20, 39, 8], 'estrelas': [9, 12]}

Aposta: {'numeros': [10, 37, 12, 44, 33], 'estrelas': [7, 9]}

Aposta: {'numeros': [30, 45, 27, 23, 12], 'estrelas': [10, 6]}

Aposta: {'numeros': [41, 22, 14, 39, 50], 'estrelas': [12, 4]}

Aposta: {'numeros': [36, 22, 38, 7, 9], 'estrelas': [3, 12]}

Aposta: {'numeros': [10, 28, 34, 29, 47], 'estrelas': [8, 4]}

Aposta: {'numeros': [45, 36, 26, 34, 11], 'estrelas': [2, 11]}

Aposta: {'numeros': [21, 50, 36, 1, 46], 'estrelas': [6, 4]}

Aposta: {'numeros': [22, 50, 49, 23, 35], 'estrelas': [11, 7]}

Aposta: {'numeros': [9, 8, 19, 13, 18], 'estrelas': [10, 9]}

Aposta: {'numeros': [18, 25, 24, 10, 43], 'estrelas': [3, 12]}

Aposta: {'numeros': [2, 27, 10, 3, 17], 'estrelas': [6, 8]}

Aposta: {'numeros': [37, 43, 40, 36, 38], 'estrelas': [3, 11]}

Aposta: {'numeros': [2, 9, 47, 23, 41], 'estrelas': [5, 1]}

Aposta: {'numeros': [50, 42, 2, 31, 3], 'estrelas': [5, 2]}

Aposta: {'numeros': [42, 26, 29, 24, 23], 'estrelas': [8, 2]}

Aposta: {'numeros': [33, 23, 45, 20, 30], 'estrelas': [5, 6]}

Aposta: {'numeros': [32, 21, 45, 15, 30], 'estrelas': [1, 3]}

Aposta: {'numeros': [43, 28, 4, 46, 12], 'estrelas': [5, 7]}

Aposta: {'numeros': [47, 49, 18, 6, 43], 'estrelas': [10, 12]}

Aposta: {'numeros': [8, 25, 39, 29, 35], 'estrelas': [4, 6]}

Aposta: {'numeros': [11, 5, 49, 9, 34], 'estrelas': [1, 11]}

Aposta: {'numeros': [9, 16, 32, 11, 10], 'estrelas': [6, 1]}

Aposta: {'numeros': [42, 36, 16, 24, 49], 'estrelas': [10, 3]}

Aposta: {'numeros': [41, 21, 14, 16, 18], 'estrelas': [11, 4]}

Aposta: {'numeros': [43, 42, 16, 13, 23], 'estrelas': [5, 4]}

Aposta: {'numeros': [35, 7, 50, 41, 46], 'estrelas': [10, 3]}

Aposta: {'numeros': [48, 36, 20, 40, 38], 'estrelas': [11, 4]}

Aposta: {'numeros': [37, 44, 36, 16, 39], 'estrelas': [10, 9]}

Aposta: {'numeros': [41, 17, 36, 42, 26], 'estrelas': [5, 1]}

Aposta: {'numeros': [13, 37, 15, 16, 48], 'estrelas': [1, 7]}

Aposta: {'numeros': [6, 21, 47, 31, 39], 'estrelas': [10, 12]}

Aposta: {'numeros': [18, 10, 39, 48, 25], 'estrelas': [6, 2]}

Aposta: {'numeros': [26, 11, 28, 5, 20], 'estrelas': [10, 3]}

Aposta: {'numeros': [50, 40, 33, 25, 44], 'estrelas': [2, 3]}

Aposta: {'numeros': [22, 46, 27, 4, 5], 'estrelas': [9, 10]}

Aposta: {'numeros': [20, 10, 35, 39, 38], 'estrelas': [3, 6]}

Aposta: {'numeros': [18, 29, 15, 35, 19], 'estrelas': [11, 6]}

Aposta: {'numeros': [16, 45, 15, 1, 32], 'estrelas': [9, 5]}

Aposta: {'numeros': [4, 44, 48, 28, 5], 'estrelas': [9, 8]}

Aposta: {'numeros': [43, 5, 29, 24, 36], 'estrelas': [6, 4]}

Aposta: {'numeros': [10, 31, 24, 8, 19], 'estrelas': [4, 8]}

Aposta: {'numeros': [4, 45, 10, 46, 37], 'estrelas': [3, 6]}

Aposta: {'numeros': [38, 20, 23, 37, 11], 'estrelas': [1, 11]}
